
ID,Product Name,Brand,Category,Price,Color,Size
1,Winter Coat (Gold),Hermès,Shoes,12531,Gold,L
2,Jeans (Red),Armani,Perfume,13927,Red,42
3,Hat (Gold),Dior,Jewelry,8730,Gold,L
4,Sweatshirt (Blue),Hermès,Perfume,2737,Blue,S
5,Sunglasses (Red),Louis Vuitton,Jewelry,14100,Red,40
6,Loafers (Black),Rolex,Clothing,13026,Black,L
7,Duffle Bag (Red),Dior,Clothing,12861,Red,36
8,Loafers (Silver),Cartier,Bags,5046,Silver,38
9,Designer Sneakers (Red),Louis Vuitton,Shoes,10268,Red,L
10,Hair Clip (Silver),Balenciaga,Bags,8742,Silver,S
11,Sandals (Blue),Dior,Bags,5979,Blue,42
12,Luggage (Black),Hermès,Shoes,9819,Black,36
13,Handbag Strap (Blue),Tom Ford,Bags,6276,Blue,38
14,Tote Bag (Green),Prada,Perfume,13736,Green,XL
15,Winter Coat (Gold),Nike,Perfume,14322,Gold,38
16,High Heels (White),Prada,Bags,13114,White,M
17,Cap (Gold),Cartier,Perfume,12757,Gold,M
18,Sandals (Black),Cartier,Accessories,8283,Black,44
19,Sunglasses (Brown),Tom Ford,Accessories,3707,Brown,One Size
20,Jeans (Blue),Prada,Jewelry,1927,Blue,42
21,Loafers (Blue),Louis Vuitton,Shoes,6064,Blue,One Size
22,Running Shoes (Brown),Balenciaga,Bags,13552,Brown,One Size
23,Bow Tie (Green),Louis Vuitton,Clothing,2355,Green,36
24,Designer Sneakers (Red),Dior,Accessories,7153,Red,S
25,Cap (Pink),Chanel,Perfume,14411,Pink,36
26,Bow Tie (Black),Hermès,Perfume,12609,Black,One Size
27,Knee Boots (Pink),Nike,Bags,2108,Pink,L
28,Polo Shirt (Silver),Fendi,Bags,5161,Silver,One Size
29,Perfume (Pink),Hermès,Perfume,4051,Pink,40
30,Leather Belt (Green),Balenciaga,Perfume,12743,Green,XL
31,Wallet (Black),Gucci,Jewelry,10169,Black,42
32,Necklace (Silver),Balenciaga,Shoes,14833,Silver,One Size
33,Sunglasses (Gold),Burberry,Jewelry,14946,Gold,M
34,Bracelet (Beige),Versace,Bags,8754,Beige,S
35,Winter Coat (Silver),Fendi,Jewelry,10619,Silver,38
36,Duffle Bag (Brown),Prada,Jewelry,964,Brown,44
37,Trench Coat (Pink),Gucci,Clothing,8527,Pink,M
38,Bracelet (Gold),Chanel,Bags,6003,Gold,38
39,Wallet (Black),Louis Vuitton,Bags,8876,Black,One Size
40,Ballet Flats (Black),Nike,Jewelry,7389,Black,L
41,Shorts (Pink),Prada,Accessories,2549,Pink,M
42,Cap (Black),Versace,Clothing,12292,Black,XL
43,Duffle Bag (Silver),Armani,Bags,12866,Silver,40
44,Elegant Watch (Beige),Tom Ford,Perfume,11025,Beige,S
45,Loafers (White),Armani,Accessories,4376,White,40
46,Keychain (Green),Nike,Shoes,5332,Green,L
47,Polo Shirt (Green),Louis Vuitton,Bags,10279,Green,L
48,Trench Coat (Beige),Gucci,Perfume,2126,Beige,S
49,Wallet (Pink),Burberry,Accessories,13846,Pink,38
50,Hat (Red),Gucci,Clothing,5242,Red,M
